de glömde,they forgot
att gnida,to rub
han gnider,he rubs
hon gned,she rubbed
att gripa,to seize
vi griper,we seize
ni grep,you (pl) seized
att gråta,to cry
de gråter,they cry
jag grät,I cried
att gå,to go; to walk
du går,you go; you walk
han gick,he went; he walked
att gömma,to hide
hon gömmer,she hides
det gömde,it hid
att göra,to do; to make
vi gör,we do; we make
ni gjorde,you (pl) did; you (pl) made
att ha,to have
de har,they have
jag hade,I had
att heta,to be called
du heter,you are called
han hette,he was called
att hinna,to have time for
hon hinner,she has time for
vi hann,we had time for
att hjälpa,to help
ni hjälper,you (pl) help
de hjälpte,they helped
att hoppas,to hope
jag hoppas,I hope
du hoppades,you hoped
att hugga,to cut
han hugger,he cuts
hon högg,she cut
att hålla,to hold
det håller,it holds
vi höll,we held
att hälsa,to greet
ni hälsar,you (pl) greet
de hälsade,they greeted
att hända,to happen
det händer,it happens
det hände,it happened
att höra,to hear
jag hör,I hear
du hörde,you heard
att kalla,to call
han kallar,he calls
hon kallade,she called
att kliva,to take a big step
vi kliver,we take a big step
ni klev,you (pl) took a big step
att klyva,to cleave
de klyver,they cleave
jag klöv,I cleaved
att knyta,to tie
du knyter,you tie
han knöt,he tied
att komma,to come
hon kommer,she comes
det kom,it came
att kosta,to cost
det kostar,it costs
det kostade,it cost
att kritisera,to criticize
vi kritiserar,we criticize
ni kritiserade,you (pl) criticized
att krypa,to creep
de kryper,they creep
jag kröp,I crept
att känna,to know; to feel
du känner,you know; you feel
han kände,he knew; he felt
att köpa,to buy
hon köper,she buys
vi köpte,we bought
att köra,to drive (a car)
ni kör,we drive (a car)
du körde,you drove (a car)
att le,to smile
jag ler,I smile
du log,you smiled
att leka,to play (as a child)
han leker,he plays (as a child)
hon lekte,she played (as a child)
att leva,to live
vi lever,we live
ni levde,you (pl) lived
att lida,to suffer
de lider,they suffer
jag led,I suffered
att ligga,to lie (down)
du ligger,you lie (down)
det låg,it lay (past)
att ljuda,to sound
det ljuder,it sounds
det ljöd,it sounded
att ljuga,to (tell a) lie
han ljuger,he (tells a) lies
hon ljög,she (told a) lied
att lova,to promise
vi lovar,we promise
ni lovade,you (pl) promised
att lyda,to obey
de lyder,they obey
jag lydde,I obeyed
att lyfta,to lift
du lyfter,you lift
han lyfte,he lifted
att lysta,to shine (as a beam)
hon lyser,she shines (as a beam)
det lyste,it shined (as a beam)
att låta,to let
vi låter,we let
ni lät,you (pl) let (past tense)
att lägga,to lay (something down)
de lägger,they lay (something down)
jag la,I laid (something down)
att lära,to teach; to learn
du lär,you teach; you learn
han lärde,he taught; he learned
att läsa,to read
hon läser,she reads
vi läste,we read (past tense)
att lösa,to loosen; to undo
ni löser,you (pl) loosen
de löste,they loosened
att måste,to have to
jag måste,I have to
du måste,you had to
att märka,to notice
han märker,he notices
hon märkte,she noticed
att mäta,to measure
vi mäter,we measure
ni mätte,you (pl) measured
att niga,to curtsy
de niger,they curtsy
jag neg,I curtsied
att njuta,to enjoy
du njuter,you enjoy
han njöt,he enjoyed
att nysa,to sneeze
hon nyser,she sneezes
vi nös,we sneezed
att nå,to reach; to attain
ni når,you (pl) reach; you (pl) attain
de nådde,they reached; they attained
att ordna,to arrange
jag ordnar,I arrange
du ordnade,you arranged
att pipa,to beep
han piper,he beeps
det pep,it beeped
att prata,to speak
hon pratar,she speaks
vi pratade,we spoke
att pröva,to try
ni prövar,you (pl) try
de prövade,they tried
att resa,to travel
jag reser,I travel
du reste,you traveled
att rida,to ride (horseback)
han rider,he rides (horseback)
hon red,she rode (horseback)
att ringa,to ring
vi ringer,we ring
ni ringde,you (pl) ringed
att rinna,to flow
det rinner,it flows
det rann,it flowed
att rita,to draw
de ritar,they draw
jag ritade,I drew
att riva,to tear
du river,you tear
han rev,he tore
att ryta,to roar
hon ryter,she roars
det röt,it roared
att råda,to advise
vi råder,we advise
ni rådde,you (pl) advised
att räkna,to count
de räknar,they count
jag räknade,I counted
att röka,to smoke
du röker,you smoke
han rökte,he smoked
att röra,to move; to touch
han rör,he moves; he touches
vi rörde,we moved; we touched
att samla,to collect
de samlar,they collect
